Date,Open,High,Low,Close,Volume,Trade
2012-10-24,2303.40,2321.43,2302.17,2307.78,375424.46,3039237.73
2012-10-25,2306.73,2322.92,2288.60,2291.24,443515.29,3318352.90
2012-10-26,2291.31,2293.18,2237.06,2247.91,409005.18,3453006.64
2012-10-29,2241.80,2248.14,2227.65,2235.85,275813.25,2532865.02
2012-10-30,2236.32,2257.95,2231.78,2239.88,340831.26,2951662.80
2012-10-31,2241.43,2256.09,2233.68,2254.82,371697.95,3063436.08
2012-11-01,2256.61,2305.63,2256.41,2297.88,507617.28,4560214.02
2012-11-02,2297.90,2309.67,2284.72,2306.77,398332.88,3489387.72
2012-11-05,2302.74,2318.23,2290.14,2301.88,395103.72,3366315.21
2012-11-06,2301.98,2304.05,2260.51,2292.21,392806.27,3447338.19
2012-11-07,2288.76,2300.89,2277.02,2287.51,330674.02,3027844.92
2012-11-08,2269.58,2275.40,2245.40,2245.41,354264.76,3041186.41
2012-11-09,2241.76,2252.20,2235.23,2240.92,305069.67,2437427.81
2012-11-12,2242.96,2254.70,2232.74,2251.85,347216.84,2904082.23
2012-11-13,2250.84,2250.84,2208.72,2212.44,340837.04,2881845.25
2012-11-14,2213.09,2225.12,2206.00,2223.11,267587.89,2359232.31
2012-11-15,2210.75,2220.99,2193.52,2193.62,283191.50,2377869.52
2012-11-16,2189.51,2191.61,2162.98,2177.24,302477.85,2611824.64
2012-11-19,2175.18,2176.49,2149.54,2174.99,269786.65,2673722.16
2012-11-20,2180.21,2184.33,2163.53,2164.88,239489.15,2299919.56
2012-11-21,2165.41,2195.46,2151.38,2194.90,305084.83,2712195.07
2012-11-22,2181.18,2185.58,2169.66,2177.55,229123.51,2153615.36
2012-11-23,2184.41,2202.47,2179.73,2192.68,286674.92,2630762.91
2012-11-26,2187.24,2191.36,2172.10,2175.60,247426.97,2223149.88
2012-11-27,2168.59,2173.46,2150.22,2150.64,319467.47,2614973.44
2012-11-28,2142.50,2144.80,2126.03,2129.16,300093.39,2442332.16
2012-11-29,2128.80,2140.88,2114.48,2115.68,296706.25,2401625.70
